game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
408,2,random,rational,truco,J1,1,rational,J0,random,TRUCO,2,0,,,,,,,,,5-1|1-0,10-1|6-1,14.0,8.0,16.0,5.0,4.0,8.0,4.0,0,QUIERO,accept,J0,random,0,1,0,3,0,2,2,J1,1
408,4,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,4,25,-21,1,J0,4-0|3-2|4-3,10-0|11-1|5-1,,,,,,,,,NO_QUIERO,decline,J1,rational,0,4,1,4,1,0,1,,
408,4,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,4-0|3-2|4-3,10-0|11-1|5-1,10.0,4.0,11.0,6.0,4.333333333333333,11.0,-0.33333333333333304,1,QUIERO,accept,J1,rational,1,4,1,6,0,2,0,J1,0
408,5,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,6,5,1,1,J0,3-2|6-0|12-3,5-1|5-3,,,,,,,,,NO_QUIERO,decline,J1,rational,1,6,2,6,1,0,1,,
408,8,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,29,7,22,0,J1,5-0|4-0|12-3,7-0|7-3,,,,,,,,,QUIERO,accept,J0,random,2,9,2,11,0,2,2,,
408,10,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,4,27,-23,1,J1,4-0|11-2|3-3,12-1|4-1|3-1,,,,,,,,,QUIERO,accept,J1,rational,2,13,2,30,0,17,0,,
409,2,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,21,25,-4,1,J0,1-0|10-2|1-2,5-3|5-1|11-3,,,,,,,,,NO_QUIERO,decline,J1,rational,0,1,1,1,1,0,1,,
409,3,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,27,7,20,0,J0,7-2|3-1|12-2,7-1|11-3,,,,,,,,,NO_QUIERO,decline,J1,rational,1,2,2,2,1,0,1,,
409,3,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,7-2|3-1|12-2,7-1|11-3,11.0,9.333333333333334,21.0,6.0,5.0,10.0,4.333333333333334,0,QUIERO,accept,J1,rational,2,2,2,4,0,2,0,J1,0
409,4,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,11-2,3-3,6.0,6.0,6.0,10.0,10.0,10.0,-4.0,1,QUIERO,accept,J1,rational,2,4,2,6,0,2,0,J1,0
409,5,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,30,4,26,0,J1,6-2|6-0|4-2,4-3|10-1|4-0,,,,,,,,,ENVIDO_ENVIDO,raise,J0,random,2,6,2,10,0,4,4,,
