game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
849,random,sb3_league,N/A,N/A,J1,8,30,30,8,9,1,8
850,random,sb3_league,N/A,N/A,J1,3,30,30,3,13,0,13
851,random,sb3_league,N/A,N/A,J1,2,30,30,2,8,0,8
852,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,2,9
853,random,sb3_league,N/A,N/A,J1,5,30,30,5,13,1,12
854,random,sb3_league,N/A,N/A,J1,4,30,30,4,1,0,1
855,random,sb3_league,N/A,N/A,J1,8,30,30,8,10,2,8
856,random,sb3_league,N/A,N/A,J1,6,30,30,6,11,0,11
857,random,sb3_league,N/A,N/A,J1,15,30,30,15,16,3,13
858,random,sb3_league,N/A,N/A,J1,5,30,30,5,12,1,11
859,random,sb3_league,N/A,N/A,J1,1,30,30,1,7,0,7
860,random,sb3_league,N/A,N/A,J1,18,30,30,18,13,4,9
861,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,0,12
862,random,sb3_league,N/A,N/A,J1,13,30,30,13,13,2,11
863,random,sb3_league,N/A,N/A,J1,8,30,30,8,8,0,8
864,random,sb3_league,N/A,N/A,J1,24,30,30,24,17,5,12
865,random,sb3_league,N/A,N/A,J1,22,30,30,22,15,3,12
866,random,sb3_league,N/A,N/A,J1,8,30,30,8,14,2,12
867,random,sb3_league,N/A,N/A,J1,12,30,30,12,10,2,8
868,random,sb3_league,N/A,N/A,J1,13,30,30,13,16,1,15
869,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,0,10
870,random,sb3_league,N/A,N/A,J1,15,30,30,15,12,1,11
871,random,sb3_league,N/A,N/A,J1,8,30,30,8,10,1,9
872,random,sb3_league,N/A,N/A,J1,11,30,30,11,8,1,7
873,random,sb3_league,N/A,N/A,J1,1,30,30,1,13,0,13
874,random,sb3_league,N/A,N/A,J1,27,30,30,27,12,3,9
875,random,sb3_league,N/A,N/A,J1,9,30,30,9,13,1,12
876,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,1,10
877,random,sb3_league,N/A,N/A,J1,13,30,30,13,14,1,13
878,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,1,9
879,random,sb3_league,N/A,N/A,J1,5,30,30,5,9,0,9
880,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,0,10
881,random,sb3_league,N/A,N/A,J1,12,30,30,12,15,2,13
882,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
883,random,sb3_league,N/A,N/A,J1,10,30,30,10,10,1,9
884,random,sb3_league,N/A,N/A,J1,8,30,30,8,12,1,11
885,random,sb3_league,N/A,N/A,J1,5,30,30,5,8,1,7
886,random,sb3_league,N/A,N/A,J1,12,30,30,12,16,3,13
887,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,0,12
888,random,sb3_league,N/A,N/A,J1,22,30,30,22,15,2,13
889,random,sb3_league,N/A,N/A,J1,3,30,30,3,9,0,9
890,random,sb3_league,N/A,N/A,J1,2,30,30,2,9,1,8
891,random,sb3_league,N/A,N/A,J1,26,30,30,26,15,4,11
892,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
893,random,sb3_league,N/A,N/A,J1,4,30,30,4,1,1,0
894,random,sb3_league,N/A,N/A,J1,18,30,30,18,12,4,8
895,random,sb3_league,N/A,N/A,J1,24,30,30,24,16,4,12
896,random,sb3_league,N/A,N/A,J1,25,30,30,25,14,3,11
897,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,0,10
898,random,sb3_league,N/A,N/A,J0,30,22,22,30,12,1,11
899,random,sb3_league,N/A,N/A,J1,9,30,30,9,17,1,16
900,random,sb3_league,N/A,N/A,J1,21,30,30,21,13,2,11
901,random,sb3_league,N/A,N/A,J1,20,30,30,20,15,2,13
902,random,sb3_league,N/A,N/A,J1,12,30,30,12,9,1,8
903,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,1,10
904,random,sb3_league,N/A,N/A,J1,4,30,30,4,12,2,10
905,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,1,9
906,random,sb3_league,N/A,N/A,J0,30,8,8,30,6,1,5
907,random,sb3_league,N/A,N/A,J1,8,30,30,8,12,2,10
908,random,sb3_league,N/A,N/A,J1,7,30,30,7,14,1,13
909,random,sb3_league,N/A,N/A,J1,13,30,30,13,10,2,8
910,random,sb3_league,N/A,N/A,J1,5,30,30,5,16,0,16
911,random,sb3_league,N/A,N/A,J1,25,30,30,25,17,3,14
912,random,sb3_league,N/A,N/A,J1,5,30,30,5,9,0,9
913,random,sb3_league,N/A,N/A,J1,3,30,30,3,9,0,9
914,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,0,11
915,random,sb3_league,N/A,N/A,J0,30,5,5,30,4,1,3
916,random,sb3_league,N/A,N/A,J1,8,30,30,8,13,1,12
917,random,sb3_league,N/A,N/A,J1,2,30,30,2,11,0,11
918,random,sb3_league,N/A,N/A,J1,2,30,30,2,12,1,11
919,random,sb3_league,N/A,N/A,J1,12,30,30,12,11,0,11
920,random,sb3_league,N/A,N/A,J1,5,30,30,5,9,0,9
921,random,sb3_league,N/A,N/A,J1,19,30,30,19,10,0,10
922,random,sb3_league,N/A,N/A,J1,15,30,30,15,13,0,13
923,random,sb3_league,N/A,N/A,J1,11,30,30,11,8,1,7
924,random,sb3_league,N/A,N/A,J1,12,30,30,12,13,0,13
925,random,sb3_league,N/A,N/A,J1,11,30,30,11,5,1,4
926,random,sb3_league,N/A,N/A,J1,1,30,30,1,12,0,12
927,random,sb3_league,N/A,N/A,J1,17,30,30,17,14,4,10
928,random,sb3_league,N/A,N/A,J1,7,30,30,7,9,2,7
929,random,sb3_league,N/A,N/A,J1,7,30,30,7,10,0,10
930,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,1,11
931,random,sb3_league,N/A,N/A,J1,16,30,30,16,13,1,12
932,random,sb3_league,N/A,N/A,J1,5,30,30,5,14,1,13
933,random,sb3_league,N/A,N/A,J1,7,30,30,7,2,1,1
934,random,sb3_league,N/A,N/A,J1,7,30,30,7,11,0,11
935,random,sb3_league,N/A,N/A,J1,16,30,30,16,11,0,11
936,random,sb3_league,N/A,N/A,J1,8,30,30,8,13,1,12
937,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,1,10
938,random,sb3_league,N/A,N/A,J0,30,11,11,30,8,2,6
939,random,sb3_league,N/A,N/A,J1,14,30,30,14,13,3,10
940,random,sb3_league,N/A,N/A,J1,7,30,30,7,11,0,11
941,random,sb3_league,N/A,N/A,J1,4,30,30,4,12,0,12
942,random,sb3_league,N/A,N/A,J1,15,30,30,15,13,1,12
943,random,sb3_league,N/A,N/A,J1,8,30,30,8,13,1,12
944,random,sb3_league,N/A,N/A,J1,17,30,30,17,16,1,15
945,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,0,10
946,random,sb3_league,N/A,N/A,J1,7,30,30,7,8,0,8
947,random,sb3_league,N/A,N/A,J1,12,30,30,12,16,2,14
948,random,sb3_league,N/A,N/A,J1,7,30,30,7,11,1,10
949,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,1,10
950,random,sb3_league,N/A,N/A,J0,30,7,7,30,6,1,5
951,random,sb3_league,N/A,N/A,J0,30,18,18,30,10,3,7
952,random,sb3_league,N/A,N/A,J1,16,30,30,16,15,2,13
953,random,sb3_league,N/A,N/A,J1,5,30,30,5,4,1,3
954,random,sb3_league,N/A,N/A,J1,10,30,30,10,12,0,12
955,random,sb3_league,N/A,N/A,J1,24,30,30,24,14,1,13
956,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,2,9
957,random,sb3_league,N/A,N/A,J1,9,30,30,9,14,3,11
958,random,sb3_league,N/A,N/A,J1,14,30,30,14,15,1,14
959,random,sb3_league,N/A,N/A,J1,7,30,30,7,11,1,10
960,random,sb3_league,N/A,N/A,J1,21,30,30,21,18,2,16
961,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,1,11
962,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,0,10
963,random,sb3_league,N/A,N/A,J1,7,30,30,7,13,1,12
964,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,0,10
965,random,sb3_league,N/A,N/A,J1,10,30,30,10,9,0,9
966,random,sb3_league,N/A,N/A,J1,3,30,30,3,11,0,11
967,random,sb3_league,N/A,N/A,J1,6,30,30,6,13,0,13
968,random,sb3_league,N/A,N/A,J0,30,5,5,30,4,1,3
969,random,sb3_league,N/A,N/A,J1,9,30,30,9,13,0,13
970,random,sb3_league,N/A,N/A,J1,9,30,30,9,12,2,10
971,random,sb3_league,N/A,N/A,J1,9,30,30,9,11,3,8
972,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,0,11
973,random,sb3_league,N/A,N/A,J1,10,30,30,10,12,3,9
974,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
975,random,sb3_league,N/A,N/A,J1,7,30,30,7,13,0,13
976,random,sb3_league,N/A,N/A,J1,6,30,30,6,13,0,13
977,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,2,8
978,random,sb3_league,N/A,N/A,J1,14,30,30,14,14,4,10
979,random,sb3_league,N/A,N/A,J1,23,30,30,23,13,6,7
980,random,sb3_league,N/A,N/A,J1,16,30,30,16,11,2,9
981,random,sb3_league,N/A,N/A,J0,30,4,4,30,2,0,2
982,random,sb3_league,N/A,N/A,J1,13,30,30,13,15,1,14
983,random,sb3_league,N/A,N/A,J1,17,30,30,17,12,1,11
984,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,1,10
985,random,sb3_league,N/A,N/A,J1,7,30,30,7,12,1,11
