timesteps,policy_gradient_loss,value_loss,entropy_loss,loss
1400833,-4.192185e-03,7.034450e-01,-1.047325e+00,2.990958e-01
1404929,-4.418100e-03,7.077309e-01,-1.043434e+00,2.901455e-01
1409025,-4.267932e-03,7.751895e-01,-1.048776e+00,3.499762e-01
1413121,-4.146348e-03,7.176112e-01,-1.020626e+00,2.900373e-01
1417217,-3.946183e-03,7.722116e-01,-1.005538e+00,3.139522e-01
1421313,-5.067007e-03,7.691108e-01,-1.003444e+00,3.204657e-01
1425409,-4.350008e-03,7.417596e-01,-1.021175e+00,3.153604e-01
1429505,-5.698340e-03,7.463399e-01,-1.029747e+00,3.086524e-01
1433601,-4.167005e-03,8.186829e-01,-1.021862e+00,3.792684e-01
1437697,-3.041804e-03,7.859933e-01,-1.027905e+00,3.332951e-01
1441793,-4.914110e-03,8.429179e-01,-1.044205e+00,3.522110e-01
1445889,-5.063411e-03,7.965886e-01,-1.035391e+00,3.192058e-01
1449985,-4.701821e-03,7.871983e-01,-1.049262e+00,3.353897e-01
1454081,-3.330660e-03,8.170118e-01,-1.075055e+00,3.465240e-01
1458177,-5.108079e-03,8.441850e-01,-1.067360e+00,3.476280e-01
1462273,-4.238817e-03,8.672478e-01,-1.079920e+00,3.696995e-01
1466369,-3.488188e-03,8.056477e-01,-1.053418e+00,3.548362e-01
1470465,-5.673524e-03,7.927679e-01,-1.059662e+00,3.480548e-01
1474561,-4.270672e-03,8.151131e-01,-1.076525e+00,3.505152e-01
1478657,-3.929893e-03,8.257546e-01,-1.062891e+00,3.769674e-01
1482753,-4.024945e-03,7.773562e-01,-1.067283e+00,3.247687e-01
1486849,-3.753120e-03,8.024689e-01,-1.062639e+00,3.305905e-01
1490945,-6.401348e-03,7.934644e-01,-1.050445e+00,3.105443e-01
1495041,-4.727126e-03,7.594659e-01,-1.061186e+00,3.248208e-01
1499137,-4.519509e-03,7.156940e-01,-1.071319e+00,2.905414e-01
1503233,-4.185029e-03,7.684154e-01,-1.074963e+00,3.124481e-01
1507329,-4.364052e-03,8.023131e-01,-1.064527e+00,3.293197e-01
1511425,-3.555105e-03,7.771105e-01,-1.064998e+00,3.354318e-01
1515521,-4.247386e-03,7.450907e-01,-1.047616e+00,3.113474e-01
